@relation mididateWEKA
@attribute s1 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute s2 {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
@attribute a {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a1 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute a2 {55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,0}
@attribute t {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t1 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute t2 {48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,0}
@attribute b {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b1 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}
@attribute b2 {41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,0}

@data
67,72,67,64,67,59,60,60,55,48,52
72,72,64,67,69,60,60,65,48,52,53
72,71,67,69,67,60,65,62,52,53,55
71,69,69,67,64,65,62,60,53,55,57
69,72,67,64,69,62,60,60,55,57,53
72,74,64,69,69,60,60,57,57,53,53
74,76,69,69,68,60,57,59,53,53,52
76,72,69,68,64,57,59,60,53,52,57
72,72,68,64,69,59,60,64,52,57,57
72,74,64,69,71,60,64,67,57,57,55
74,76,69,71,72,64,67,67,57,55,60
76,72,71,72,64,67,67,60,55,60,57
72,77,72,64,69,67,60,60,60,57,53
77,77,64,69,69,60,60,62,57,53,53
77,76,69,69,70,60,62,62,53,53,55
76,76,69,70,69,62,62,61,53,55,57
76,74,70,69,65,62,61,62,55,57,50
74,79,69,65,67,61,62,60,57,50,52
79,77,65,67,72,62,60,69,50,52,53
77,76,67,72,72,60,69,67,52,53,48
76,74,72,72,69,69,67,65,53,48,50
74,72,72,69,67,67,65,64,48,50,52
72,72,69,67,69,65,64,64,50,52,53
72,72,67,69,67,64,64,62,52,53,55
72,71,69,67,67,64,62,62,53,55,55
71,72,67,67,67,62,62,64,55,55,48
72,72,67,67,69,62,64,65,55,48,53
72,72,67,69,67,64,65,64,48,53,48
72,0,69,67,0,65,64,0,53,48,0
67,65,55,55,60,48,50,57,48,47,45
65,64,55,60,60,50,57,55,47,45,48
64,62,60,60,59,57,55,55,45,48,43
62,60,60,59,60,55,55,52,48,43,48
60,67,59,60,62,55,52,55,43,48,47
67,69,60,62,60,52,55,53,48,47,41
69,67,62,60,59,55,53,50,47,41,43
