@relation mididateWEKA
@attribute s {60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,0}
64,65,67,60,60,60,55,55,55,48,50,52
65,67,67,60,60,62,55,55,59,50,52,53
67,67,67,60,62,64,55,59,60,52,53,52
67,67,72,62,64,64,59,60,55,53,52,48
67,72,72,64,64,65,60,55,57,52,48,53
72,72,69,64,65,65,55,57,60,48,53,53
72,69,67,65,65,60,57,60,60,53,53,52
69,67,69,65,60,60,60,60,52,53,52,45
67,69,69,60,60,60,60,52,53,52,45,45
69,69,64,60,60,60,52,53,55,45,45,43
69,64,62,60,60,59,53,55,55,45,43,43
64,62,62,60,59,59,55,55,53,43,43,43
62,62,60,59,59,60,55,53,52,43,43,48
62,60,65,59,60,60,53,52,57,43,48,41
60,65,64,60,60,60,52,57,55,48,41,48
65,64,0,60,60,0,57,55,0,41,48,0
64,64,64,55,55,59,48,52,55,48,48,43
64,64,62,55,59,59,52,55,55,48,43,43
64,62,64,59,59,60,55,55,55,43,43,48
62,64,65,59,60,60,55,55,55,43,48,48
64,65,67,60,60,62,55,55,50,48,48,47
65,67,60,60,62,55,55,50,52,48,47,48
67,60,67,62,55,59,50,52,53,47,48,50
60,67,72,55,59,60,52,53,55,48,50,52
67,72,72,59,60,64,53,55,60,50,52,48
72,72,71,60,64,64,55,60,60,52,48,48
72,71,69,64,64,65,60,60,60,48,48,53
71,69,67,64,65,67,60,60,60,48,53,52
69,67,67,65,67,64,60,60,57,53,52,50
67,67,69,67,64,64,60,57,57,52,50,50
67,69,67,64,64,62,57,57,59,50,50,43
69,67,65,64,62,62,57,59,59,50,43,43
67,65,64,62,62,60,59,59,55,43,43,48
65,64,67,62,60,62,59,55,55,43,48,47
64,67,67,60,62,62,55,55,53,48,47,47
67,67,69,62,62,57,55,53,52,47,47,48
67,69,62,62,57,62,53,52,54,47,48,50
69,62,62,57,62,62,52,54,54,48,50,48
62,62,64,62,62,62,54,54,55,50,48,47
62,64,66,62,62,60,54,55,57,48,47,45
64,66,67,62,60,59,55,57,50,47,45,43
66,67,67,60,59,59,57,50,55,45,43,55
67,67,67,59,59,59,50,55,55,43,55,53
67,67,72,59,59,60,55,55,55,55,53,52
67,72,71,59,60,60,55,55,55,53,52,52
72,71,69,60,60,60,55,55,57,52,52,53
71,69,69,60,60,62,55,57,59,52,53,53
69,69,67,60,62,64,57,59,60,53,53,52
69,67,67,62,64,62,59,60,59,53,52,55
67,67,69,64,62,62,60,59,59,52,55,55
67,69,67,62,62,59,59,59,55,55,55,43
69,67,65,62,59,59,59,55,55,55,43,43
67,65,69,59,59,60,55,55,55,43,43,41
65,69,69,59,60,60,55,55,53,43,41,41
69,69,67,60,60,57,55,53,52,41,41,43
69,67,67,60,57,59,53,52,50,41,43,43
67,67,64,57,59,60,52,50,48,43,43,45
67,64,64,59,60,60,50,48,50,43,45,45
64,64,60,60,60,60,48,50,52,45,45,45
64,60,60,60,60,60,50,52,54,45,45,45
60,60,64,60,60,55,52,54,52,45,45,48
60,64,64,60,55,57,54,52,53,45,48,48
64,64,64,55,57,59,52,53,55,48,48,43
64,64,62,57,59,59,53,55,55,48,43,43
64,62,64,59,59,60,55,55,55,43,43,48
62,64,65,59,60,60,55,55,55,43,48,48
64,65,67,60,60,62,55,55,50,48,48,47
65,67,60,60,62,55,55,50,52,48,47,48
67,60,60,62,55,57,50,52,53,47,48,41
60,60,60,55,57,55,52,53,52,48,41,48
60,60,0,57,55,0,53,52,0,41,48,0
64,62,60,60,59,57,55,55,52,48,43,45
62,60,62,59,57,59,55,52,53,43,45,43
60,62,60,57,59,60,52,53,52,45,43,45
62,60,64,59,60,60,53,52,55,43,45,43
60,64,62,60,60,55,52,55,50,45,43,43
64,62,64,60,55,60,55,50,52,43,43,48
62,64,64,55,60,60,50,52,52,43,48,48
64,64,67,60,60,64,52,52,55,48,48,52
64,67,65,60,64,62,52,55,53,48,52,50
67,65,64,64,62,60,55,53,52,52,50,48
65,64,62,62,60,59,53,52,50,50,48,47
64,62,64,60,59,60,52,50,52,48,47,48
62,64,67,59,60,59,50,52,50,47,48,43
64,67,67,60,59,60,52,50,52,48,43,48
67,67,67,59,60,62,50,52,50,43,48,47
